,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,25,26,27,28,29,30,31,32,,,,,,,,,,,,,,,,,,,,,
,,,," 555,720.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,125367.93,,, ,,,1125.21, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payroll ,Nov-24,, ,,,,,, ,,,,, ,,,,,,,,,,,,26.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,C,,,,A,,,,1440, ,,,, ,,,,,,,,,B,A-B-C,,,,,   , ,,,,,,,,,,,,,,,,,,,,
Staff No,Name,Pin No,Basic,Bonus/Comm   ,Fringe benefit Loan-non cash,Transport/Hse Allowance,Arrears,Salary Arrears/OT/Others,Gross Salary,Voluntary pension Contribution,Defined Pension contribution,NSSF-T1,NSSF-T2,SHIF,Taxable pay,Gross PAYE,House levy,Advances,HELB,Company loan,Bank loan,SACCO,Personal Relief,NHIF Relief,AHL Relief,Net PAYE,Total Deductions,Net Pay,EMPLOYER PENSION,TOTAL PENSION,Variance,NITA, NP as per payslip ,Variance,,,HOUSE LEVY,GROSS,,,Leave,,,Category,,,Category,Qty, Basic ,,,,,
,,,,,,,,,," 22,028.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1000,A00000000Z1," 398,051.75 ",, 545.83 , -   ,, -   ," 398,597.58 ",," 19,902.59 ", 420.00 ," 1,740.00 "," 10,946.42 "," 376,535.00 "," 108,362.08 "," 5,970.78 ",,,,,   ," (7,290.72)",, (895.62)," 100,175.74 "," 139,155.53 "," 258,896.23 "," 41,545.18 "," 63,187.76 ", 0.00 ,50," 258,896.23 ", 0.00 ," 90,344.00 ","-9,831.74 "," 5,970.78 "," 398,051.75 "," 729,353.58 ","-470,457.35 ",," 7,591.06 ",,Mgt,1," 361,044.67 ",Mgt,5," 1,983,268.29 ",, 895.62 ,,,
2,1001,A00000000Z2," 440,577.94 ",, 390.00 ,,, -   ," 440,967.94 "," 11,028.90 "," 20,000.00 ", 420.00 ," 1,740.00 "," 12,115.89 "," 418,807.94 "," 113,573.18 "," 6,608.67 ",,,,,," (3,717.41)",, (991.30)," 108,864.47 "," 160,777.93 "," 279,800.01 "," 45,797.79 "," 69,566.69 ",-0.00 ,50," 279,800.01 ", (0.00)," 110,060.88 "," 1,196.41 "," 6,608.67 "," 440,577.94 "," 826,248.36 ","-546,448.36 ",," 5,336.49 ",,Mgt,1," 418,601.37 ",Admin,4," 579,972.23 ",, 991.30 ,,,
3,1002,A00000000Z3," 240,632.93 ",," 8,766.42 "," 5,437.22 ",, -   ," 254,836.56 ",," 12,031.65 ", 420.00 ," 1,740.00 "," 6,617.41 "," 240,644.92 "," 66,976.28 "," 3,609.49 ",,," 20,833.00 "," 34,334.00 ",," (2,400.00)",, (541.42)," 64,034.85 "," 143,620.40 "," 102,449.75 "," 25,803.29 "," 39,574.94 ", -   ,50," 102,449.75 ", -   ," 59,391.53 ","-4,643.32 "," 3,691.05 "," 246,070.15 "," 248,202.72 ","-145,752.97 ",," 3,840.46 ",,Admin,1," 228,629.86 ",Supervisor,3," 214,755.37 ",, 541.42 ,,,
4,1003,A00000000Z4," 155,770.00 ",," 8,487.67 "," 5,437.22 ",,," 169,694.88 ",," 7,788.50 ", 420.00 ," 1,740.00 "," 4,283.68 "," 159,746.38 "," 42,706.71 "," 2,336.55 ",,," 20,833.00 ",,," (2,400.00)",, (350.48)," 39,956.23 "," 77,357.96 "," 83,849.26 "," 17,317.00 "," 26,845.50 ", -   ,50," 83,849.26 ", -   ," 38,318.65 ","-1,637.58 "," 2,418.11 "," 161,207.22 "," 208,337.40 ","-124,488.14 ",," 3,205.50 ",,Admin,1," 148,000.00 ",MO,6," 255,577.90 ",, 350.48 ,,,
